SE NUM,MERCHANT LEVEL,MERCHANT ID,MERCHANTSTARTDATE, MERCHANTENDDATE,MERCHANTNAME
9300021525,C,,5/8/2013,6/20/2013,GILLIGAN'S NEIGHBOURHOOD      
9300095859,C,,5/8/2013,6/20/2013,KING CLEANERS                 
9300103513,C,,5/8/2013,6/20/2013,EMBASSY WEST HOTEL            
9300108249,C,,5/8/2013,6/20/2013,HB CANADA FO WAREHOUSE        
9300113231,C,,5/8/2013,6/20/2013,AMBASSADOR MOTEL              
9300172856,C,,5/8/2013,6/20/2013,RESIDENCE INN BY MARRIOTT     
9300204394,C,,5/8/2013,6/20/2013,LINDE CANADA LIMITED          
9300250611,C,,5/8/2013,6/20/2013,CANADORE COLLEGE              
9300255529,C,,5/8/2013,6/20/2013,TRENT HEALTH INSURANCE SE     
9300266484,C,,5/8/2013,6/20/2013,STERLING MARKING PRODUCTS     
9300303287,C,,5/8/2013,6/20/2013,PCO SERVICES                  
9300372829,C,,5/8/2013,6/20/2013,ALAMO RENT A CAR              
9300404010,C,,5/8/2013,6/20/2013,FOREST HILL NORTH AUTO CO     
9300505295,C,,5/8/2013,6/20/2013,ECONO LODGE INN AND SUITE     
9300512572,C,,5/8/2013,6/20/2013,COLONIAL MOTEL & RSTR         
9300515336,C,,5/8/2013,6/20/2013,AFFINITY LUXURY CAR RENTA     
9300515765,C,,5/8/2013,6/20/2013,LOCKSMITHS&SAFEMEN SEC        
9300530954,C,,5/8/2013,6/20/2013,METRO DRY CLEANERS            
9300540532,C,,5/8/2013,6/20/2013,TREEHELP.COM                  
9300564169,C,,5/8/2013,6/20/2013,TRUEXPERIENCES TOURS INC      
9300650844,C,,5/8/2013,6/20/2013,POPEYES CHICKEN  BISCUITS     
9300671311,C,,5/8/2013,6/20/2013,WHISTLE BEAR GOLF CLUB        
9300727600,C,,5/8/2013,6/20/2013,CENVEO MCLARENMORRIS&TODD     
9300774131,C,,5/8/2013,6/20/2013,TODMORDEN MILLS               
9300789550,C,,5/8/2013,6/20/2013,HARVEYS #0002940# QFF         
9300827483,C,,5/8/2013,6/20/2013,COOP CABS                     
9300866457,C,,5/8/2013,6/20/2013,B.SLEUTH & STATESMAN FCP      
9300875706,C,,5/8/2013,6/20/2013,CAFE MIRAGE                   
9300879880,C,,5/8/2013,6/20/2013,IMPERIAL OIL-KIOSK            
9300879898,C,,5/8/2013,6/20/2013,IMPERIAL OIL-TRANSPONDER      
9300879906,C,,5/8/2013,6/20/2013,IMPERIAL OIL-UNMANNED         
9300891265,C,,5/8/2013,6/20/2013,JET LINK PRTG AND COMMS       
9300920890,C,,5/8/2013,6/20/2013,BUDGET RENT A CAR             
9300930691,C,,5/8/2013,6/20/2013,PODS CANADA                   
9301038668,C,,5/8/2013,6/20/2013,MURPHY'S RESTAURANT           
9301039278,C,,5/8/2013,6/20/2013,JAKE'S BOATHOUSE              
9301053923,C,,5/8/2013,6/20/2013,NEW DUBROUNIK'S RESTR.        
9301055563,C,,5/8/2013,6/20/2013,BARREL PZA & SPGHTTI HSE      
9301068848,C,,5/8/2013,6/20/2013,GOLDED PIZZA                  
9301070752,C,,5/8/2013,6/20/2013,CHIPICAN RESTAURANT           
9301089182,C,,5/8/2013,6/20/2013,PARADIS BRASSERIE BISTRO      
9301142106,C,,5/8/2013,6/20/2013,GILLIGAN'S NEIGHBOURHOOD      
9301202694,C,,5/8/2013,6/20/2013,BROOKLEA PRACTICE FCLTY       
9301210366,C,,5/8/2013,6/20/2013,ARMANDO'S PIZZERIA            
9301244563,C,,5/8/2013,6/20/2013,SECOND CUP #09053# QFF        
9301248606,C,,5/8/2013,6/20/2013,EDUKIDS CHILD CARE CTR        
9301359247,C,,5/8/2013,6/20/2013,BUDGET RENT A CAR             
9301367232,C,,5/8/2013,6/20/2013,CHOICE OF THE ORIENT          
9301377454,C,,5/8/2013,6/20/2013,THE TERRACE FOOD COURT        
9301430881,C,,5/8/2013,6/20/2013,INTERLINC DIRECT              
9301430915,C,,5/8/2013,6/20/2013,QUIZNO'S                      
9301432036,C,,5/8/2013,6/20/2013,JACCO TOURS ONTARIO           
9301476504,C,,5/8/2013,6/20/2013,STANDARDBRED CANADA INC       
9301511235,C,,5/8/2013,6/20/2013,STEVEN LAU EYECARE SERVIC     
9301528114,C,,5/8/2013,6/20/2013,THE ALTERED NATIVE INC.       
9301589207,C,,5/8/2013,6/20/2013,LOWES COMPANIES CANADA        
9301623873,C,,5/8/2013,6/20/2013,APPLE SELF STORAGE            
9301656832,C,,5/8/2013,6/20/2013,LIFESTYLES CANADA             
9301716453,C,,5/8/2013,6/20/2013,SESCOLITE LIGHTING            
9301739158,C,,5/8/2013,6/20/2013,SPECTRUM TEL                  
9301746849,C,,5/8/2013,6/20/2013,COLORWORKS AUTO SERVICES      
9301766565,C,,5/8/2013,6/20/2013,THE FLOOR SHOP                
9301794344,C,,5/8/2013,6/20/2013,TRUCANADA.COM                 
9301907888,C,,5/8/2013,6/20/2013,CANPARK SERVICES LTD.         
9301912409,C,,5/8/2013,6/20/2013,PARTY PACKAGERS               
9301960952,C,,5/8/2013,6/20/2013,VERITY CLUB                   
9301963402,C,,5/8/2013,6/20/2013,DOMINO'S PIZZA #10436         
9301979598,C,,5/8/2013,6/20/2013,ZABIAN'S                      
9301980745,C,,5/8/2013,6/20/2013,SUBWAY #24691                 
9301982113,C,,5/8/2013,6/20/2013,CAN FUELS                     
9302037511,C,,5/8/2013,6/20/2013,THORNHILL HYUNDAI             
9302061313,C,,5/8/2013,6/20/2013,SWISS CHALET #1945            
9302072716,C,,5/8/2013,6/20/2013,RISTORANTE DA NOI             
